"appid","name","release_date","release_month","is_free","platform_windows","platform_mac","platform_linux","list_price_usd","current_price_usd","discount_percent","price_currency","total_reviews","positive_reviews","negative_reviews","positive_rate","review_score","review_score_desc","metadata_collected_at","review_collected_at","review_collection_date","metadata_collection_date","days_since_release","platform_segment","price_band","log1p_current_price","genre_action","genre_adventure","genre_casual","genre_early_access","genre_free_to_play","genre_game_development","genre_indie","genre_massively_multiplayer","genre_rpg","genre_racing","genre_simulation","genre_sports","genre_strategy","has_review","log1p_current_price_paid","z_log1p_paid_price_component","z_days_since_release"
660200,"Transistor Defense",2025-07-04,"2025-07",0,1,1,0,9.99,9.99,0,"USD",1,1,0,1,0,"1 user reviews",2026-09-12 12:52:21.093594,2026-09-13 18:40:58.905989,2026-09-13,2026-09-12,436,"Windows + macOS","$5.00-$9.99",2.39698576841553,1,0,1,1,0,0,1,0,0,0,0,0,1,1,2.39698576841553,0.615309661548216,1.74979970348581
662000,"Startron",2025-09-21,"2025-09",1,1,0,1,,,,,0,0,0,,0,"No user reviews",2026-09-12 12:52:25.321413,2026-09-13 18:41:00.938131,2026-09-13,2026-09-12,357,"Windows + Linux","Free",,0,0,0,0,1,0,1,0,0,0,1,0,1,0,,0,0.227949972932168
690320,"Snake-A-Roid",2025-11-18,"2025-11",0,1,0,1,4.99,4.99,0,"USD",5,5,0,1,0,"5 user reviews",2026-09-12 12:52:29.669694,2026-09-13 18:41:03.133496,2026-09-13,2026-09-12,299,"Windows + Linux","$0.01-$4.99",1.79009141212736,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.79009141212736,-0.212555002889199,-0.889357424183163
766500,"The Hordes of the Dead",2025-10-30,"2025-10",0,1,1,0,3.99,3.99,0,"USD",19,12,7,0.631578947368421,5,"Mixed",2026-09-12 12:52:42.650282,2026-09-13 18:41:05.206151,2026-09-13,2026-09-12,318,"Windows + macOS","$0.01-$4.99",1.60743590976343,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1.60743590976343,-0.461715395641907,-0.523342932024692
832360,"Hotel Magnate",2025-09-23,"2025-09",0,1,1,1,19.99,19.99,0,"USD",419,246,173,0.587112171837709,5,"Mixed",2026-09-12 12:52:53.386847,2026-09-13 18:41:07.440934,2026-09-13,2026-09-12,355,"Windows + macOS + Linux","$10.00-$19.99",3.04404613383254,0,0,1,0,0,0,1,0,0,0,1,0,1,1,3.04404613383254,1.49796478387127,0.189422131652329
863970,"Survive the Rift",2025-11-17,"2025-11",0,1,0,0,14.99,14.99,0,"USD",7,6,1,0.857142857142857,0,"7 user reviews",2026-09-12 12:52:57.700565,2026-09-13 18:41:09.573143,2026-09-13,2026-09-12,300,"Windows only","$10.00-$19.99",2.77196352684586,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2.77196352684586,1.12681686694233,-0.870093503543243
887330,"Glassbreakers: Champions of Moss",2025-11-13,"2025-11",0,1,0,0,19.99,19.99,0,"USD",22,14,8,0.636363636363636,5,"Mixed",2026-09-12 12:53:10.470465,2026-09-13 18:41:11.656327,2026-09-13,2026-09-12,304,"Windows only","$10.00-$19.99",3.04404613383254,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3.04404613383254,1.49796478387127,-0.793037820983565
990380,"METAL EDEN",2025-09-02,"2025-09",0,1,0,0,19.99,19.99,0,"USD",1910,1605,305,0.840314136125654,8,"Very Positive",2026-09-12 12:53:31.777732,2026-09-13 18:41:13.880142,2026-09-13,2026-09-12,376,"Windows only","$10.00-$19.99",3.04404613383254,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3.04404613383254,1.49796478387127,0.593964465090638
993770,"LazerGrrl",2025-09-26,"2025-09",1,1,0,0,,,,,0,0,0,,0,"No user reviews",2026-09-12 12:53:33.984243,2026-09-13 18:41:16.022757,2026-09-13,2026-09-12,352,"Windows only","Free",,1,0,0,0,1,0,1,0,0,0,0,0,1,0,,0,0.13163036973257
1004640,"FINAL FANTASY TACTICS - The Ivalice Chronicles",2025-09-30,"2025-09",0,1,0,0,49.99,49.99,0,"USD",5650,5059,591,0.895398230088496,8,"Very Positive",2026-09-12 12:53:38.318156,2026-09-13 18:41:18.192514,2026-09-13,2026-09-12,348,"Windows only","$30.00+",3.93162953506706,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3.93162953506706,2.70871740829398,0.0545746871728924
1024820,"Hockey Club",2025-11-21,"2025-11",0,1,0,0,24.99,24.99,0,"USD",9,6,3,0.666666666666667,0,"9 user reviews",2026-09-12 12:53:40.439528,2026-09-13 18:41:20.32125,2026-09-13,2026-09-12,296,"Windows only","$20.00-$29.99",3.2577118486534,1,0,0,1,0,0,1,0,0,0,1,1,0,1,3.2577118486534,1.78942621116778,-0.947149186102921
1033380,"Skate & Date",2025-10-04,"2025-10",0,1,1,0,9.99,9.99,0,"USD",8,8,0,1,0,"8 user reviews",2026-09-12 12:53:46.751598,2026-09-13 18:41:22.54668,2026-09-13,2026-09-12,344,"Windows + macOS","$5.00-$9.99",2.39698576841553,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.39698576841553,0.615309661548216,-0.0224809953867855
1056170,"SUPERVERSE",2025-12-11,"2025-12",0,1,0,0,9.99,9.99,0,"USD",37,26,11,0.702702702702703,6,"Mostly Positive",2026-09-12 12:53:55.075845,2026-09-13 18:41:24.699111,2026-09-13,2026-09-12,276,"Windows only","$5.00-$9.99",2.39698576841553,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2.39698576841553,0.615309661548216,-1.33242759890131
1057580,"Shopkeeper: My First Supermarket",2025-07-22,"2025-07",0,1,0,0,9.99,9.99,0,"USD",36,19,17,0.527777777777778,5,"Mixed",2026-09-12 12:53:57.246886,2026-09-13 18:41:26.818117,2026-09-13,2026-09-12,418,"Windows only","$5.00-$9.99",2.39698576841553,1,0,1,0,0,0,1,0,0,0,1,0,0,1,2.39698576841553,0.615309661548216,1.40304913196726
1058230,"Cozy Jigsaw Puzzles",2025-12-05,"2025-12",0,1,0,0,4.99,4.99,0,"USD",2,0,2,0,0,"2 user reviews",2026-09-12 12:54:01.634282,2026-09-13 18:41:28.951254,2026-09-13,2026-09-12,282,"Windows only","$0.01-$4.99",1.79009141212736,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1.79009141212736,-0.212555002889199,-1.21684407506179
1058710,"Monarch : Medieval Remastered",2025-08-11,"2025-08",0,1,0,0,11.99,11.99,0,"USD",365,293,72,0.802739726027397,8,"Very Positive",2026-09-12 12:54:03.802165,2026-09-13 18:41:31.186513,2026-09-13,2026-09-12,398,"Windows only","$10.00-$19.99",2.56417983068251,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2.56417983068251,0.843379102004269,1.01777071916887
1101650,"OutSpaceX_EP1",2025-12-17,"2025-12",0,1,0,0,2.99,2.99,0,"USD",2,1,1,0.5,0,"2 user reviews",2026-09-12 12:54:20.831576,2026-09-13 18:41:33.256661,2026-09-13,2026-09-12,270,"Windows only","$0.01-$4.99",1.38379123090177,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1.38379123090177,-0.766789128987195,-1.44801112274083
1126340,"Raid on Area 51",2025-09-20,"2025-09",0,1,0,0,4.99,4.99,0,"USD",8,7,1,0.875,0,"8 user reviews",2026-09-12 12:54:40.133402,2026-09-13 18:41:49.932872,2026-09-13,2026-09-12,358,"Windows only","$0.01-$4.99",1.79009141212736,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.79009141212736,-0.212555002889199,0.247213893572087
1141550,"CUCKOLD SIMULATOR: Life as a Beta Male Cuck",2025-11-16,"2025-11",0,1,0,0,4.99,4.99,0,"USD",1682,1568,114,0.932223543400713,8,"Very Positive",2026-09-12 12:54:55.288335,2026-09-13 18:41:52.106182,2026-09-13,2026-09-12,301,"Windows only","$0.01-$4.99",1.79009141212736,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1.79009141212736,-0.212555002889199,-0.850829582903324
1151990,"Slip 'n Slime",2025-08-28,"2025-08",0,1,1,1,9.99,9.99,0,"USD",76,72,4,0.947368421052632,8,"Very Positive",2026-09-12 12:55:01.623675,2026-09-13 18:41:54.164273,2026-09-13,2026-09-12,381,"Windows + macOS + Linux","$5.00-$9.99",2.39698576841553,0,1,1,0,0,0,1,0,0,0,0,0,1,1,2.39698576841553,0.615309661548216,0.690284068290236
1154140,"Pity Please!",2025-09-12,"2025-09",0,1,0,0,12.99,12.99,0,"USD",1,1,0,1,0,"1 user reviews",2026-09-12 12:55:05.729408,2026-09-13 18:41:56.341209,2026-09-13,2026-09-12,366,"Windows only","$10.00-$19.99",2.63834278867739,0,1,1,0,0,0,1,0,1,0,1,0,1,1,2.63834278867739,0.944544801928764,0.401325258691443
1156820,"Strike & Resist",2025-11-20,"2025-11",0,1,0,0,7.99,7.99,0,"USD",36,28,8,0.777777777777778,6,"Mostly Positive",2026-09-12 12:55:09.827172,2026-09-13 18:41:58.379238,2026-09-13,2026-09-12,297,"Windows only","$5.00-$9.99",2.19611284848353,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2.19611284848353,0.341298887298887,-0.927885265463002
1166940,"Dead Static Drive",2025-11-04,"2025-11",0,1,0,0,29.99,29.99,0,"USD",43,16,27,0.372093023255814,4,"Mostly Negative",2026-09-12 13:02:46.938965,2026-09-13 18:42:00.525697,2026-09-13,2026-09-12,313,"Windows only","$20.00-$29.99",3.43366457179966,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3.43366457179966,2.02944334198315,-0.61966253522429
1170570,"The Drifter",2025-07-17,"2025-07",0,1,1,1,19.99,19.99,0,"USD",4712,4596,116,0.975382003395586,9,"Overwhelmingly Positive",2026-09-12 13:02:51.238642,2026-09-13 18:42:02.686365,2026-09-13,2026-09-12,423,"Windows + macOS + Linux","$10.00-$19.99",3.04404613383254,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.04404613383254,1.49796478387127,1.49936873516685
1191050,"MotoTrials",2025-10-10,"2025-10",0,1,0,0,9.99,9.99,0,"USD",5,5,0,1,0,"5 user reviews",2026-09-12 13:02:59.690405,2026-09-13 18:42:04.895831,2026-09-13,2026-09-12,338,"Windows only","$5.00-$9.99",2.39698576841553,1,1,0,0,0,0,1,0,0,1,0,0,0,1,2.39698576841553,0.615309661548216,-0.138064519226302
1194040,"東１局５３本場",2025-07-25,"2025-07",0,1,0,0,6.99,6.99,0,"USD",4,4,0,1,0,"4 user reviews",2026-09-12 13:03:01.68647,2026-09-13 18:42:07.010519,2026-09-13,2026-09-12,415,"Windows only","$5.00-$9.99",2.07819075977818,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2.07819075977818,0.18044135190692,1.3452573700475
1201700,"Warnament",2025-08-07,"2025-08",0,1,1,1,12.99,9.35,28,"USD",477,403,74,0.844863731656184,8,"Very Positive",2026-09-12 13:03:10.282551,2026-09-13 18:42:09.105497,2026-09-13,2026-09-12,402,"Windows + macOS + Linux","$5.00-$9.99",2.33698651971138,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2.33698651971138,0.533464679171457,1.09482640172854
1239360,"Genokids",2025-10-02,"2025-10",0,1,1,1,19.99,16.99,15,"USD",218,215,3,0.986238532110092,8,"Very Positive",2026-09-12 13:03:25.355242,2026-09-13 18:42:11.305561,2026-09-13,2026-09-12,346,"Windows + macOS + Linux","$10.00-$19.99",2.88981604796244,1,1,0,1,0,0,1,0,0,0,0,0,0,1,2.88981604796244,1.28757950517809,0.0160468458930535
1264970,"The Conquest of Go",2025-12-10,"2025-12",0,1,1,0,14.99,10.49,30,"USD",576,546,30,0.947916666666667,8,"Very Positive",2026-09-12 13:03:31.693539,2026-09-13 18:42:13.325609,2026-09-13,2026-09-12,277,"Windows + macOS","$10.00-$19.99",2.44147709186066,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2.44147709186066,0.676000281213153,-1.31316367826139
1273640,"Bring You Home",2025-07-17,"2025-07",0,1,1,0,6.99,6.99,0,"USD",206,198,8,0.961165048543689,8,"Very Positive",2026-09-12 13:03:42.449771,2026-09-13 18:42:15.358847,2026-09-13,2026-09-12,423,"Windows + macOS","$5.00-$9.99",2.07819075977818,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2.07819075977818,0.18044135190692,1.49936873516685
1274700,"You Alone Can Defeat Evil",2025-09-25,"2025-09",0,1,1,0,2.99,1.49,50,"USD",5,5,0,1,0,"5 user reviews",2026-09-12 13:03:44.481112,2026-09-13 18:42:17.391908,2026-09-13,2026-09-12,353,"Windows + macOS","$0.01-$4.99",0.912282710476616,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0.912282710476616,-1.40997395843353,0.15089429037249
1275550,"Arctic Awakening",2025-09-18,"2025-09",0,1,1,0,24.99,24.99,0,"USD",326,274,52,0.840490797546012,8,"Very Positive",2026-09-12 13:03:46.499484,2026-09-13 18:42:19.410762,2026-09-13,2026-09-12,360,"Windows + macOS","$20.00-$29.99",3.2577118486534,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.2577118486534,1.78942621116778,0.285741734851926
1283360,"Geki Yaba Runner",2025-12-04,"2025-12",0,1,0,0,4.99,1.99,60,"USD",6,4,2,0.666666666666667,0,"6 user reviews",2026-09-12 13:03:55.158337,2026-09-13 18:42:21.53963,2026-09-13,2026-09-12,283,"Windows only","$0.01-$4.99",1.0952733874026,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0952733874026,-1.16035635402041,-1.19758015442187
1292460,"Adventure of Samsara",2025-09-04,"2025-09",0,1,1,1,19.99,19.99,0,"USD",66,59,7,0.893939393939394,8,"Very Positive",2026-09-12 13:04:03.58032,2026-09-13 18:42:23.579616,2026-09-13,2026-09-12,374,"Windows + macOS + Linux","$10.00-$19.99",3.04404613383254,1,1,0,0,0,0,1,0,1,0,0,0,0,1,3.04404613383254,1.49796478387127,0.555436623810799
1295870,"Next Run",2025-11-06,"2025-11",0,1,1,1,9.99,9.99,0,"USD",63,47,16,0.746031746031746,6,"Mostly Positive",2026-09-12 13:04:07.891584,2026-09-13 18:42:25.759494,2026-09-13,2026-09-12,311,"Windows + macOS + Linux","$5.00-$9.99",2.39698576841553,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2.39698576841553,0.615309661548216,-0.658190376504129
1296660,"Wartorn",2025-11-11,"2025-11",0,1,0,0,34.99,34.99,0,"USD",130,95,35,0.730769230769231,6,"Mostly Positive",2026-09-12 13:04:10.048978,2026-09-13 18:42:27.95037,2026-09-13,2026-09-12,306,"Windows only","$30.00+",3.58324112209094,1,1,0,0,0,0,1,0,0,0,0,0,1,1,3.58324112209094,2.23348073223332,-0.754509979703726
1298430,"Warsong",2025-10-23,"2025-10",0,1,1,0,14.99,14.99,0,"USD",10,7,3,0.7,6,"Mostly Positive",2026-09-12 13:04:12.169418,2026-09-13 18:42:30.143342,2026-09-13,2026-09-12,325,"Windows + macOS","$10.00-$19.99",2.77196352684586,0,0,0,1,0,0,1,0,1,0,0,0,1,1,2.77196352684586,1.12681686694233,-0.388495487545256
1308940,"Misc. A Tiny Tale",2025-07-31,"2025-07",0,1,0,0,19.99,19.99,0,"USD",112,111,1,0.991071428571429,8,"Very Positive",2026-09-12 13:04:20.526186,2026-09-13 18:42:32.176607,2026-09-13,2026-09-12,409,"Windows only","$10.00-$19.99",3.04404613383254,0,1,1,0,0,0,1,0,0,0,0,0,0,1,3.04404613383254,1.49796478387127,1.22967384620798
1329030,"Puzzle - LINES AND KNOTS 3",2025-11-11,"2025-11",0,1,1,1,9.99,9.99,0,"USD",13,12,1,0.923076923076923,7,"Positive",2026-09-12 13:04:33.350453,2026-09-13 18:42:34.29175,2026-09-13,2026-09-12,306,"Windows + macOS + Linux","$5.00-$9.99",2.39698576841553,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2.39698576841553,0.615309661548216,-0.754509979703726
1330360,"Fata Deum - The God Sim",2025-09-15,"2025-09",0,1,0,0,29.99,29.99,0,"USD",409,242,167,0.591687041564792,5,"Mixed",2026-09-12 13:04:35.572122,2026-09-13 18:42:36.546062,2026-09-13,2026-09-12,363,"Windows only","$20.00-$29.99",3.43366457179966,0,0,0,1,0,0,0,0,1,0,1,0,1,1,3.43366457179966,2.02944334198315,0.343533496771685
1342490,"Daemon X Machina: Titanic Scion",2025-09-05,"2025-09",0,1,0,0,69.99,27.99,60,"USD",1831,1158,673,0.632441288913162,5,"Mixed",2026-09-12 13:04:48.348727,2026-09-13 18:42:38.785361,2026-09-13,2026-09-12,373,"Windows only","$20.00-$29.99",3.36695094293356,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.36695094293356,1.93843927281958,0.53617270317088
1342690,"Radiolight",2025-10-23,"2025-10",0,1,0,0,14.99,14.99,0,"USD",413,374,39,0.905569007263923,8,"Very Positive",2026-09-12 13:04:50.476522,2026-09-13 18:42:40.918563,2026-09-13,2026-09-12,325,"Windows only","$10.00-$19.99",2.77196352684586,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.77196352684586,1.12681686694233,-0.388495487545256
1344550,"Warspace 2",2025-07-14,"2025-07",0,1,1,1,17.99,17.99,0,"USD",83,49,34,0.590361445783133,5,"Mixed",2026-09-12 13:04:54.645485,2026-09-13 18:42:43.106642,2026-09-13,2026-09-12,426,"Windows + macOS + Linux","$10.00-$19.99",2.94391252482419,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2.94391252482419,1.36137251577438,1.55716049708661
1380990,"Hyper Team Recon",2025-09-23,"2025-09",0,1,0,0,19.99,19.99,0,"USD",74,74,0,1,8,"Very Positive",2026-09-12 13:05:13.841954,2026-09-13 18:42:45.127632,2026-09-13,2026-09-12,355,"Windows only","$10.00-$19.99",3.04404613383254,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3.04404613383254,1.49796478387127,0.189422131652329
1386750,"Spindle",2025-10-13,"2025-10",0,1,1,1,19.99,19.99,0,"USD",311,296,15,0.951768488745981,8,"Very Positive",2026-09-12 13:05:18.076872,2026-09-13 18:42:47.305959,2026-09-13,2026-09-12,335,"Windows + macOS + Linux","$10.00-$19.99",3.04404613383254,1,1,0,0,0,0,1,0,1,0,0,0,0,1,3.04404613383254,1.49796478387127,-0.195856281146061
1395520,"The Séance of Blake Manor",2025-10-27,"2025-10",0,1,0,1,19.99,19.99,0,"USD",3644,3466,178,0.951152579582876,9,"Overwhelmingly Positive",2026-09-12 13:05:24.631734,2026-09-13 18:42:49.420531,2026-09-13,2026-09-12,321,"Windows + Linux","$10.00-$19.99",3.04404613383254,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.04404613383254,1.49796478387127,-0.465551170104934
1408090,"The Office Type",2025-07-24,"2025-07",0,1,1,0,19.99,19.99,0,"USD",11,3,8,0.272727272727273,4,"Mostly Negative",2026-09-12 13:05:33.179262,2026-09-13 18:42:51.546231,2026-09-13,2026-09-12,416,"Windows + macOS","$10.00-$19.99",3.04404613383254,0,0,1,0,0,0,1,0,0,0,1,0,0,1,3.04404613383254,1.49796478387127,1.36452129068742
1408730,"KindFolx",2025-07-15,"2025-07",0,1,1,0,14.99,14.99,0,"USD",5,4,1,0.8,0,"5 user reviews",2026-09-12 13:05:35.277112,2026-09-13 18:42:53.741406,2026-09-13,2026-09-12,425,"Windows + macOS","$10.00-$19.99",2.77196352684586,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2.77196352684586,1.12681686694233,1.53789657644669
1410450,"Ten Deadly Games: Jamsepticeye",2025-11-20,"2025-11",1,1,0,0,,,,,0,0,0,,0,"No user reviews",2026-09-12 13:05:39.638208,2026-09-13 18:42:55.778757,2026-09-13,2026-09-12,297,"Windows only","Free",,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,-0.927885265463002
1421250,"Tiny Bunny",2025-12-05,"2025-12",0,1,1,0,10.99,10.99,0,"USD",27145,22663,4482,0.834886719469516,8,"Very Positive",2026-09-12 13:05:52.733139,2026-09-13 18:42:58.029838,2026-09-13,2026-09-12,282,"Windows + macOS","$10.00-$19.99",2.48407296903942,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.48407296903942,0.734105322398058,-1.21684407506179
1423630,"Holiday Harry",2025-12-23,"2025-12",0,1,1,0,7.99,7.99,0,"USD",4,3,1,0.75,0,"4 user reviews",2026-09-12 13:05:57.215743,2026-09-13 18:43:00.091744,2026-09-13,2026-09-12,264,"Windows + macOS","$5.00-$9.99",2.19611284848353,1,1,1,0,0,0,1,0,1,0,1,1,1,1,2.19611284848353,0.341298887298887,-1.56359464658034
1425980,"Stone Simulator – Just Be a Rock",2025-08-19,"2025-08",0,1,0,0,3.99,3.99,0,"USD",1524,1447,77,0.949475065616798,8,"Very Positive",2026-09-12 13:05:59.242643,2026-09-13 18:43:02.205414,2026-09-13,2026-09-12,390,"Windows only","$0.01-$4.99",1.60743590976343,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1.60743590976343,-0.461715395641907,0.863659354049511
1427070,"Mascot Mayhem",2025-07-16,"2025-07",0,1,0,0,7.99,7.99,0,"USD",3,3,0,1,0,"3 user reviews",2026-09-12 13:06:01.312634,2026-09-13 18:43:04.282373,2026-09-13,2026-09-12,424,"Windows only","$5.00-$9.99",2.19611284848353,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2.19611284848353,0.341298887298887,1.51863265580677
1447820,"The Girl from Arkanya",2025-08-21,"2025-08",0,1,0,1,19.99,19.99,0,"USD",152,141,11,0.927631578947368,8,"Very Positive",2026-09-12 13:06:37.250236,2026-09-13 18:43:06.302181,2026-09-13,2026-09-12,388,"Windows + Linux","$10.00-$19.99",3.04404613383254,1,1,0,0,0,0,1,0,1,0,0,0,0,1,3.04404613383254,1.49796478387127,0.825131512769672
1449110,"The Outer Worlds 2",2025-10-29,"2025-10",0,1,0,0,69.99,69.99,0,"USD",8398,6147,2251,0.731959990473922,6,"Mostly Positive",2026-09-12 13:06:39.439199,2026-09-13 18:43:08.470076,2026-09-13,2026-09-12,319,"Windows only","$30.00+",4.26253902205129,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4.26253902205129,3.16011107930594,-0.504079011384773
1456570,"PixelJunk<U+2122> Eden 2",2025-10-09,"2025-10",0,1,0,0,14.99,14.99,0,"USD",23,18,5,0.782608695652174,6,"Mostly Positive",2026-09-12 13:06:45.596443,2026-09-13 18:43:10.706948,2026-09-13,2026-09-12,339,"Windows only","$10.00-$19.99",2.77196352684586,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2.77196352684586,1.12681686694233,-0.118800598586383
1471650,"The Knightling",2025-08-28,"2025-08",0,1,0,0,29.99,29.99,0,"USD",489,426,63,0.871165644171779,8,"Very Positive",2026-09-12 13:06:49.847148,2026-09-13 18:43:12.960742,2026-09-13,2026-09-12,381,"Windows only","$20.00-$29.99",3.43366457179966,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3.43366457179966,2.02944334198315,0.690284068290236
1476400,"Northwind",2025-09-22,"2025-09",0,1,0,0,19.99,19.99,0,"USD",60,48,12,0.8,8,"Very Positive",2026-09-12 13:06:54.076073,2026-09-13 18:43:15.066023,2026-09-13,2026-09-12,356,"Windows only","$10.00-$19.99",3.04404613383254,0,0,0,1,0,0,1,0,0,0,0,0,1,1,3.04404613383254,1.49796478387127,0.208686052292248
