"specification_id","term","estimate_log_odds","std_error","z_value","p_value","ci95_lower_logit","ci95_upper_logit","odds_ratio","or_ci95_lower","or_ci95_upper","ci_crosses_1","direction","ci_method","threshold","primary_estimate","primary_or","primary_ci_crosses_1","or_difference","or_difference_pct","log_odds_difference","direction_change","ci_crosses_1_change","robustness_class","descriptive_rule"
"PRIMARY","genre_rpg",-0.0871883993301128,0.0692183774701941,-1.25961345117713,0.207808840724622,-0.222853926239992,0.0484771275797663,0.916504410549793,0.800231733615687,1.04967136302123,TRUE,"-","Wald normal",">=20 (Primary)",-0.0871883993301128,0.916504410549793,TRUE,0,0,0,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"PRIMARY","genre_simulation",-0.240956587486069,0.0651969260110111,-3.69582742973762,0.000219171812570787,-0.368740214370373,-0.113172960601764,0.785875742489426,0.69160505616958,0.892996193599071,FALSE,"-","Wald normal",">=20 (Primary)",-0.240956587486069,0.785875742489426,FALSE,0,0,0,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"PRIMARY","genre_strategy",-0.191505896848702,0.0746344144908829,-2.56591946429881,0.0102902717221728,-0.337786661258067,-0.0452251324393371,0.82571475597714,0.713347456314887,0.955782280013379,FALSE,"-","Wald normal",">=20 (Primary)",-0.191505896848702,0.82571475597714,FALSE,0,0,0,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_GT0","(Intercept)",1.55908662501072,0.0675242344488626,23.0892899080766,5.93198841020643e-118,1.42674155740731,1.69143169261413,4.7544766412624,4.16510529998021,5.42724529255412,FALSE,"+","Wald normal",">0",1.64854792601808,5.1994243940999,FALSE,-0.444947752837495,8.55763482862456,-0.0894613010073606,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_GT0","z_log1p_price",-0.0455980958093568,0.0263759679543328,-1.72877431032314,0.0838494956612544,-0.0972940430572316,0.00609785143851804,0.955425874700415,0.90728918482102,1.00611648118249,TRUE,"-","Wald normal",">0",-0.0730417527083384,0.929562017483736,FALSE,0.0258638572166792,2.78237027010753,0.0274436568989816,FALSE,TRUE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_GT0","z_days_since_release",-0.0484974916940341,0.0251412833650992,-1.92899825318216,0.0537310790854129,-0.0977735016147444,0.000778518226676239,0.952659728864919,0.906854281524604,1.00077882135065,TRUE,"-","Wald normal",">0",-0.0174602217714934,0.982691324607685,TRUE,-0.0300315957427658,3.05605585301724,-0.0310372699225407,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_GT0","platform_segmentWindows + macOS",0.229910549496816,0.0902871615665706,2.54643678578042,0.0108828920477807,0.0529509645599886,0.406870134433643,1.25848743256041,1.0543779419654,1.50210902075611,FALSE,"+","Wald normal",">0",0.366529652998134,1.44271918086519,FALSE,-0.184231748304778,12.7697580200116,-0.136619103501319,FALSE,FALSE,"Moderately sensitive","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_GT0","platform_segmentWindows + Linux",0.563917681076342,0.130033870338009,4.33669842795958,1.44638854535973e-05,0.309055978443494,0.81877938370919,1.75754452924081,1.36213861876897,2.267730119168,FALSE,"+","Wald normal",">0",0.489501800199617,1.63150320287972,FALSE,0.126041326361085,7.72547219880491,0.0744158808767251,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_GT0","platform_segmentWindows + macOS + Linux",0.53095328514248,0.105719029905675,5.02230568721838,5.1054839402042e-07,0.323747794046845,0.738158776238116,1.70055264774634,1.38229863920742,2.09207997876292,FALSE,"+","Wald normal",">0",0.418186053630357,1.51920330139901,FALSE,0.181349346347326,11.9371348245705,0.112767231512123,FALSE,FALSE,"Moderately sensitive","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_GT0","genre_action",-0.0509470955680098,0.0547738675248503,-0.930135078464118,0.352301150510193,-0.158301903210684,0.0564077120746647,0.950328945815605,0.853592040886251,1.05802896699613,TRUE,"-","Wald normal",">0",-0.124687684110165,0.882772563434394,TRUE,0.0675563823812112,7.6527505701339,0.0737405885421554,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_GT0","genre_adventure",-0.0751417761885153,0.052833122374622,-1.42224749950817,0.154954413971035,-0.178692793233572,0.0284092408565411,0.927611963716749,0.836362796244985,1.0288166320808,TRUE,"-","Wald normal",">0",-0.00769179156638015,0.99233771456224,TRUE,-0.0647257508454909,6.52255274546771,-0.0674499846221352,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_GT0","genre_casual",0.104112552461847,0.0550320823243453,1.89185195370645,0.0585107088598138,-0.00374834688811296,0.211973451811807,1.10972535020695,0.996258669394859,1.23611506802743,TRUE,"+","Wald normal",">0",0.101220050627175,1.10652010541846,TRUE,0.00320524478849893,0.289668915440711,0.00289250183467187,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_GT0","genre_indie",0.0833755727187137,0.05867859446264,1.420885648033,0.155350005978556,-0.0316323590914922,0.19838350452892,1.08694996064987,0.968862710178547,1.2194299610716,TRUE,"+","Wald normal",">0",0.135089176785313,1.14463885501351,TRUE,-0.0576888943636444,5.03992102932442,-0.0517136040665994,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_GT0","genre_rpg",-0.0418323529422831,0.061417665596506,-0.681112714656203,0.495800172397714,-0.162208765525959,0.0785440596413933,0.959030545745459,0.850263680265989,1.08171101391172,TRUE,"-","Wald normal",">0",-0.0871883993301128,0.916504410549793,TRUE,0.0425261351956657,4.6400360659645,0.0453560463878297,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_GT0","genre_simulation",-0.337158395112455,0.0560482067934049,-6.01550726422398,1.79324260612194e-09,-0.447010861825582,-0.227305928399328,0.713795769186902,0.639536961698144,0.796677018879798,FALSE,"-","Wald normal",">0",-0.240956587486069,0.785875742489426,FALSE,-0.0720799733025242,9.17193004000808,-0.096201807626386,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_GT0","genre_strategy",-0.0938695439002217,0.063963870995366,-1.46754007284866,0.142229196483483,-0.219236427362905,0.0314973395624618,0.910401521925918,0.803131813368467,1.0319986300241,TRUE,"-","Wald normal",">0",-0.191505896848702,0.82571475597714,FALSE,0.0846867659487788,10.2561768862374,0.0976363529484801,FALSE,TRUE,"Moderately sensitive","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_10","(Intercept)",1.6817126417308,0.0750600793091923,22.4048876208002,3.52682452059419e-111,1.53459758960807,1.82882769385354,5.37475311964922,4.63945818807245,6.2265829168257,FALSE,"+","Wald normal",">=10",1.64854792601808,5.1994243940999,FALSE,0.175328725549319,3.37207952765455,0.0331647157127195,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_10","z_log1p_price",-0.0634070971567384,0.0300178092988025,-2.11231594303146,0.0346593592890433,-0.122240922277183,-0.00457327203629401,0.938561310264756,0.884935142228554,0.99543716944895,FALSE,"-","Wald normal",">=10",-0.0730417527083384,0.929562017483736,FALSE,0.00899929278102041,0.968121826382373,0.00963465555160004,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_10","z_days_since_release",-0.0488440103116189,0.0285263880604879,-1.71223956597832,0.0868525287236948,-0.104754703519188,0.00706668289595078,0.95232967172142,0.900545396111886,1.00709171081959,TRUE,"-","Wald normal",">=10",-0.0174602217714934,0.982691324607685,TRUE,-0.0303616528862656,3.08964291491906,-0.0313837885401255,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_10","platform_segmentWindows + macOS",0.261920656133192,0.0996928722235945,2.62727565463003,0.00860715771678366,0.0665262170595936,0.457315095206791,1.29942343705893,1.06878898421236,1.57982660162088,FALSE,"+","Wald normal",">=10",0.366529652998134,1.44271918086519,FALSE,-0.143295743806257,9.93233788715026,-0.104608996864942,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_10","platform_segmentWindows + Linux",0.413259197209081,0.141439071169245,2.92181781026104,0.00347995037592077,0.136043711710562,0.690474682707599,1.51173681311955,1.14573197440474,1.99466214018178,FALSE,"+","Wald normal",">=10",0.489501800199617,1.63150320287972,FALSE,-0.119766389760171,7.34086145517671,-0.0762426029905365,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_10","platform_segmentWindows + macOS + Linux",0.424537280930172,0.109069857701432,3.89234285142556,9.92808075811275e-05,0.210764288036457,0.638310273823888,1.52888281273141,1.23462130574863,1.89327905178839,FALSE,"+","Wald normal",">=10",0.418186053630357,1.51920330139901,FALSE,0.00967951133239953,0.637143911120108,0.00635122729981508,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_10","genre_action",-0.10264285544272,0.0612398869448058,-1.67607846068086,0.0937228251474762,-0.222670828271844,0.0173851173864041,0.902449220761077,0.800378267834809,1.01753711811221,TRUE,"-","Wald normal",">=10",-0.124687684110165,0.882772563434394,TRUE,0.0196766573266831,2.22896113242712,0.0220448286674453,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_10","genre_adventure",-0.0533506971130836,0.0587941966927217,-0.907414338729932,0.364187729697439,-0.168585205130782,0.0618838109046148,0.948047476662899,0.844859274007112,1.06383873108709,TRUE,"-","Wald normal",">=10",-0.00769179156638015,0.99233771456224,TRUE,-0.0442902378993413,4.46322227296173,-0.0456589055467035,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_10","genre_casual",0.110794970829309,0.0623448913271969,1.77712990544547,0.075546868815947,-0.0113987707920602,0.232988712450679,1.11716583178771,0.988665949053419,1.26236723021447,TRUE,"+","Wald normal",">=10",0.101220050627175,1.10652010541846,TRUE,0.0106457263692545,0.962090640479474,0.00957492020213413,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_10","genre_indie",0.0765185659498697,0.0656642576783138,1.16530009864317,0.243897539206195,-0.0521810141711829,0.205218146070922,1.07952223250677,0.949157040416856,1.22779287394273,TRUE,"+","Wald normal",">=10",0.135089176785313,1.14463885501351,TRUE,-0.0651166225067485,5.68883558526236,-0.0585706108354433,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_10","genre_rpg",-0.0592345113513567,0.0666752988029318,-0.888402638080897,0.374324206837204,-0.18991569566355,0.0714466729608362,0.942485719639055,0.827028853123194,1.07406087268787,TRUE,"-","Wald normal",">=10",-0.0871883993301128,0.916504410549793,TRUE,0.0259813090892622,2.83482641111095,0.0279538879787561,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_10","genre_simulation",-0.268419458008472,0.062135747752707,-4.31988778950163,1.56108558658684e-05,-0.390203285756243,-0.146635630260701,0.764587001689788,0.676919252468186,0.863608592932515,FALSE,"-","Wald normal",">=10",-0.240956587486069,0.785875742489426,FALSE,-0.0212887407996382,2.70891944472056,-0.0274628705224031,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_10","genre_strategy",-0.140801671753547,0.0708376928159887,-1.98766597493936,0.0468486443717746,-0.279640998420797,-0.00196234508629731,0.868661574741669,0.756055117721784,0.998039579054007,FALSE,"-","Wald normal",">=10",-0.191505896848702,0.82571475597714,FALSE,0.0429468187645294,5.20116886051125,0.0507042250951549,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_50","(Intercept)",1.62917063299593,0.0914593081108452,17.8130653582185,5.59594505917029e-71,1.44991368304772,1.80842758294414,5.09964348811623,4.2627465519976,6.10084681053798,FALSE,"+","Wald normal",">=50",1.64854792601808,5.1994243940999,FALSE,-0.0997809059836641,1.91907600573809,-0.0193772930221563,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_50","z_log1p_price",-0.0716388632949194,0.0385855636540436,-1.85662347548503,0.0633647416402824,-0.147265178380023,0.00398745179018374,0.930867005359989,0.863065080868454,1.00399541225321,TRUE,"-","Wald normal",">=50",-0.0730417527083384,0.929562017483736,FALSE,0.00130498787625366,0.140387392310437,0.00140288941341898,FALSE,TRUE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_50","z_days_since_release",-0.0247403448202403,0.0363400332176511,-0.680801381552491,0.495997175762067,-0.0959655011238257,0.0464848114833451,0.975563189179801,0.908495357596926,1.0475821677285,TRUE,"-","Wald normal",">=50",-0.0174602217714934,0.982691324607685,TRUE,-0.00712813542788426,0.725368714405816,-0.00728012304874691,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_50","platform_segmentWindows + macOS",0.389300601293593,0.124721987397478,3.12134700077321,0.00180025767413647,0.144849997914277,0.633751204672909,1.4759481565807,1.15586617492646,1.88466710780993,FALSE,"+","Wald normal",">=50",0.366529652998134,1.44271918086519,FALSE,0.0332289757155166,2.3032185442762,0.0227709482954585,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_50","platform_segmentWindows + Linux",0.236983492008419,0.199596174721528,1.18731479868816,0.235103472972848,-0.15421782189774,0.628184805914578,1.26742019504068,0.857085308728711,1.87420544307265,TRUE,"+","Wald normal",">=50",0.489501800199617,1.63150320287972,FALSE,-0.364083007839045,22.3158009862568,-0.252518308191198,FALSE,TRUE,"Moderately sensitive","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_50","platform_segmentWindows + macOS + Linux",0.306468140859138,0.120191758494144,2.54982658294388,0.010777651453649,0.0708966229720803,0.542039658746196,1.35861818237969,1.07347024796838,1.71951050249049,FALSE,"+","Wald normal",">=50",0.418186053630357,1.51920330139901,FALSE,-0.160585119019321,10.5703508458309,-0.111717912771219,FALSE,FALSE,"Moderately sensitive","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_50","genre_action",-0.14150309526598,0.0763779034839006,-1.8526705867988,0.0639295883218523,-0.291201035309102,0.0081948447771413,0.868052488727396,0.747365416077186,1.00822851442728,TRUE,"-","Wald normal",">=50",-0.124687684110165,0.882772563434394,TRUE,-0.0147200747069974,1.66748212582973,-0.0168154111558149,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_50","genre_adventure",0.0760204102296044,0.0724936791515404,1.04864880799734,0.294339783276536,-0.0660645900142169,0.218105410473426,1.07898459625589,0.936070401538451,1.24371816162983,TRUE,"+","Wald normal",">=50",-0.00769179156638015,0.99233771456224,TRUE,0.0866468816936545,8.73159212051897,0.0837122017959846,TRUE,FALSE,"Highly sensitive","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_50","genre_casual",0.0745964389250785,0.0782305648477956,0.953545958286412,0.340313522113637,-0.078732650666826,0.227925528516983,1.07744924655919,0.924286998928841,1.2559917863784,TRUE,"+","Wald normal",">=50",0.101220050627175,1.10652010541846,TRUE,-0.0290708588592647,2.62723277389261,-0.0266236117020967,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_50","genre_indie",0.164257713739201,0.079829551370741,2.05760537193002,0.0396280305707067,0.00779466815055804,0.320720759327843,1.17851799623917,1.00782512566031,1.3781206998085,FALSE,"+","Wald normal",">=50",0.135089176785313,1.14463885501351,TRUE,0.0338791412256509,2.9598105181613,0.0291685369538875,FALSE,TRUE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_50","genre_rpg",-0.0828913939532455,0.0796816564407043,-1.04028201289879,0.298208898372318,-0.23906457080552,0.0732817828990288,0.920451108347943,0.787364040000939,1.07603370209534,TRUE,"-","Wald normal",">=50",-0.0871883993301128,0.916504410549793,TRUE,0.00394669779815038,0.430625074218982,0.00429700537686728,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_50","genre_simulation",-0.17473770120453,0.0758524129872646,-2.30365382356218,0.0212420838831951,-0.323405698800026,-0.0260697036090327,0.839677238214727,0.723680198615869,0.97426717730349,FALSE,"-","Wald normal",">=50",-0.240956587486069,0.785875742489426,FALSE,0.0538014957253008,6.8460562931836,0.0662188862815393,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"TH_50","genre_strategy",-0.214876045510347,0.0855314814747835,-2.51224510326875,0.0119965734936991,-0.382514668745277,-0.0472374222754162,0.806641420806324,0.682143884708176,0.953860902877998,FALSE,"-","Wald normal",">=50",-0.191505896848702,0.82571475597714,FALSE,-0.0190733351708154,2.30991816880447,-0.0233701486616447,FALSE,FALSE,"Stable","Stable: same sign and OR difference <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
